,EC,Enz,Met,Org,Mode,ChEBI
364,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Lacticaseibacillus casei,+,CHEBI:28013
365,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Lactococcus cremoris,+,CHEBI:28013
367,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Lactococcus raffinolactis,+,CHEBI:28013
368,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Lapidilactobacillus dextrinicus,+,CHEBI:28013
369,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Latilactobacillus curvatus,+,CHEBI:28013
370,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Rothia dentocariosa,+,CHEBI:28013
372,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Streptococcus acidominimus,+,CHEBI:28013
373,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Streptococcus agalactiae,+,CHEBI:28013
374,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Streptococcus equinus,+,CHEBI:28013
375,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Streptococcus milleri,+,CHEBI:28013
376,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Streptococcus mitior,+,CHEBI:28013
377,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Streptococcus mutans,+,CHEBI:28013
378,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Streptococcus salivarius,+,CHEBI:28013
379,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Streptococcus sanguinis,+,CHEBI:28013
380,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Streptococcus thermophilus,+,CHEBI:28013
383,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Thermus caldophilus,+,CHEBI:28013
384,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Bacillus subtilis,+,CHEBI:28013
387,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Lactiplantibacillus plantarum,+,CHEBI:28013
388,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Lactobacillus acidophilus,+,CHEBI:28013
389,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Lactobacillus helveticus,+,CHEBI:28013
390,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Lactobacillus mesenteroides,+,CHEBI:28013
391,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Lactobacillus vermiforme,+,CHEBI:28013
392,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Lentilactobacillus buchneri,+,CHEBI:28013
393,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Levilactobacillus brevis,+,CHEBI:28013
394,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Ligilactobacillus salivarius,+,CHEBI:28013
395,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Limosilactobacillus fermentum,+,CHEBI:28013
396,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Mycoplasma sp.,+,CHEBI:28013
397,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Pediococcus acidilactici,+,CHEBI:28013
398,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Pediococcus damnosus,+,CHEBI:28013
399,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Pediococcus inopinatus,+,CHEBI:28013
400,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Pediococcus pentosaceus,+,CHEBI:28013
401,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Selenomonas ruminantium,+,CHEBI:28013
402,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Staphylococcus aureus,+,CHEBI:28013
407,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Tetragenococcus halophilus,+,CHEBI:28013
408,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Weissella confusa,+,CHEBI:28013
409,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Weissella viridescens,+,CHEBI:28013
410,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",[Bacillus] caldolyticus,+,CHEBI:28013
412,1.1.1.27,L-lactate dehydrogenase,"fructose 1,6-diphosphate",Cupriavidus necator,+,CHEBI:28013
417,1.1.1.27,L-lactate dehydrogenase,"tagatose 1,6-diphosphate",Lactococcus cremoris,+,CHEBI:4250
419,1.1.1.27,L-lactate dehydrogenase,Urea,Thermoanaerobacter ethanolicus,+,CHEBI:16199
425,1.1.1.28,D-lactate dehydrogenase,acetate,Enterococcus faecium,+,CHEBI:15366
426,1.1.1.28,D-lactate dehydrogenase,"fructose 1,6-bisphosphate",Fusobacterium nucleatum,+,CHEBI:28013
427,1.1.1.28,D-lactate dehydrogenase,"fructose 1,6-bisphosphate",Pseudomonas aeruginosa,+,CHEBI:28013
428,1.1.1.28,D-lactate dehydrogenase,"fructose 1,6-diphosphate",Globisporangium debaryanum,+,CHEBI:28013
429,1.1.1.28,D-lactate dehydrogenase,"fructose 1,6-diphosphate",Phytophthora undulata,+,CHEBI:28013
430,1.1.1.28,D-lactate dehydrogenase,"fructose 1,6-diphosphate",Sapromyces elongatus,+,CHEBI:28013
431,1.1.1.28,D-lactate dehydrogenase,"fructose 1,6-diphosphate",Streptococcus equinus,+,CHEBI:28013
435,1.1.1.283,methylglyoxal reductase (NADPH),glutathione,Saccharomyces cerevisiae,+,CHEBI:16856
437,1.1.1.283,methylglyoxal reductase (NADPH),L-cysteine,Saccharomyces cerevisiae,+,CHEBI:35235
438,1.1.1.283,methylglyoxal reductase (NADPH),methylglyoxal,Dictyostelium discoideum,+,CHEBI:17158
443,1.1.1.284,S-(hydroxymethyl)glutathione dehydrogenase,formaldehyde,Homo sapiens,+,CHEBI:16842
444,1.1.1.284,S-(hydroxymethyl)glutathione dehydrogenase,glutathione,Taiwanofungus camphoratus,+,CHEBI:16856
445,1.1.1.284,S-(hydroxymethyl)glutathione dehydrogenase,NADH,Homo sapiens,+,CHEBI:16908
456,1.1.1.30,3-hydroxybutyrate dehydrogenase,glycerol,Acidovorax sp.,+,CHEBI:17754
474,1.1.1.30,3-hydroxybutyrate dehydrogenase,reduced glutathione,Zoogloea ramigera,+,CHEBI:16856
475,1.1.1.30,3-hydroxybutyrate dehydrogenase,succinate,Acidovorax sp.,+,CHEBI:15741
478,1.1.1.304,diacetyl reductase [(S)-acetoin forming],DMSO,Rhodococcus erythropolis,+,CHEBI:28262
479,1.1.1.305,UDP-glucuronic acid dehydrogenase (UDP-4-keto-hexauronic acid decarboxylating),NAD+,Homo sapiens,+,CHEBI:15846
481,1.1.1.306,S-(hydroxymethyl)mycothiol dehydrogenase,formaldehyde,Nocardia sp.,+,CHEBI:16842
482,1.1.1.306,S-(hydroxymethyl)mycothiol dehydrogenase,methanol,Amycolatopsis methanolica,+,CHEBI:17790
488,1.1.1.307,D-xylose reductase,cysteine,Candida parapsilosis,+,CHEBI:35235
493,1.1.1.307,D-xylose reductase,glutathione,Candida parapsilosis,+,CHEBI:16856
510,1.1.1.316,L-galactose 1-dehydrogenase,glutathione,Spinacia oleracea,+,CHEBI:16856
513,1.1.1.335,UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase,2-oxoglutarate,Pseudomonas aeruginosa,+,CHEBI:30915
574,1.1.1.36,acetoacetyl-CoA reductase,alpha-ketoglutarate,Methylorubrum extorquens,+,CHEBI:16810
575,1.1.1.36,acetoacetyl-CoA reductase,ATP,Methylorubrum extorquens,+,CHEBI:15422
576,1.1.1.36,acetoacetyl-CoA reductase,citrate,Methylorubrum extorquens,+,CHEBI:30769
577,1.1.1.36,acetoacetyl-CoA reductase,CoA,Bos taurus,+,CHEBI:15346
578,1.1.1.36,acetoacetyl-CoA reductase,CoA,Rattus norvegicus,+,CHEBI:15346
579,1.1.1.36,acetoacetyl-CoA reductase,isocitrate,Methylorubrum extorquens,+,CHEBI:30887
580,1.1.1.36,acetoacetyl-CoA reductase,pantetheine,Bos taurus,+,CHEBI:16753
581,1.1.1.36,acetoacetyl-CoA reductase,pantetheine,Rattus norvegicus,+,CHEBI:16753
582,1.1.1.363,glucose-6-phosphate dehydrogenase [NAD(P)+],NADP+,Leuconostoc mesenteroides,+,CHEBI:18009
583,1.1.1.363,glucose-6-phosphate dehydrogenase [NAD(P)+],NADPH,Leuconostoc mesenteroides,+,CHEBI:16474
586,1.1.1.37,malate dehydrogenase,citrate,Corynebacterium glutamicum,+,CHEBI:30769
587,1.1.1.37,malate dehydrogenase,cysteine,Mycolicibacterium phlei,+,CHEBI:35235
589,1.1.1.37,malate dehydrogenase,fumarate,Synechocystis sp.,+,CHEBI:18012
590,1.1.1.37,malate dehydrogenase,glutathione,Mycolicibacterium phlei,+,CHEBI:16856
591,1.1.1.37,malate dehydrogenase,isocitrate,Corynebacterium glutamicum,+,CHEBI:30887
592,1.1.1.37,malate dehydrogenase,L-malate,Comamonas testosteroni,+,CHEBI:30797
593,1.1.1.37,malate dehydrogenase,L-malate,Sus scrofa,+,CHEBI:30797
594,1.1.1.37,malate dehydrogenase,L-malate,Pseudomonas stutzeri,+,CHEBI:30797
598,1.1.1.375,L-2-hydroxycarboxylate dehydrogenase [NAD(P)+],"D-fructose 1,6-bisphosphate",Methanocaldococcus jannaschii,+,CHEBI:28013
601,1.1.1.38,malate dehydrogenase (oxaloacetate-decarboxylating),aspartate,Escherichia coli,+,CHEBI:17053
603,1.1.1.38,malate dehydrogenase (oxaloacetate-decarboxylating),aspartate,Citrobacter freundii,+,CHEBI:17053
604,1.1.1.38,malate dehydrogenase (oxaloacetate-decarboxylating),aspartate,Erwinia aroidea,+,CHEBI:17053
607,1.1.1.38,malate dehydrogenase (oxaloacetate-decarboxylating),aspartate,Proteus vulgaris,+,CHEBI:17053
608,1.1.1.38,malate dehydrogenase (oxaloacetate-decarboxylating),ATP,Urochloa panicoides,+,CHEBI:15422
610,1.1.1.38,malate dehydrogenase (oxaloacetate-decarboxylating),CoA,Urochloa panicoides,+,CHEBI:15346
611,1.1.1.38,malate dehydrogenase (oxaloacetate-decarboxylating),CoA,Atriplex spongiosa,+,CHEBI:15346
612,1.1.1.38,malate dehydrogenase (oxaloacetate-decarboxylating),D-Aspartate,Escherichia coli,+,CHEBI:17364
613,1.1.1.38,malate dehydrogenase (oxaloacetate-decarboxylating),fumarate,Homo sapiens,+,CHEBI:18012
614,1.1.1.38,malate dehydrogenase (oxaloacetate-decarboxylating),fumarate,Mus musculus,+,CHEBI:18012
615,1.1.1.38,malate dehydrogenase (oxaloacetate-decarboxylating),fumarate,Rattus norvegicus,+,CHEBI:18012
616,1.1.1.38,malate dehydrogenase (oxaloacetate-decarboxylating),fumarate,Ascaris suum,+,CHEBI:18012
618,1.1.1.38,malate dehydrogenase (oxaloacetate-decarboxylating),L-aspartate,Escherichia coli,+,CHEBI:17053
623,1.1.1.38,malate dehydrogenase (oxaloacetate-decarboxylating),phosphoenolpyruvate,Saccharomyces cerevisiae,+,CHEBI:44897
624,1.1.1.38,malate dehydrogenase (oxaloacetate-decarboxylating),succinate,Rattus norvegicus,+,CHEBI:15741
625,1.1.1.38,malate dehydrogenase (oxaloacetate-decarboxylating),UTP,Urochloa panicoides,+,CHEBI:15713
627,1.1.1.39,malate dehydrogenase (decarboxylating),2-oxoglutarate,Arabidopsis thaliana,+,CHEBI:30915
628,1.1.1.39,malate dehydrogenase (decarboxylating),acetyl-CoA,Arabidopsis thaliana,+,CHEBI:15351
630,1.1.1.39,malate dehydrogenase (decarboxylating),ADP,Sinorhizobium meliloti,+,CHEBI:16761
631,1.1.1.39,malate dehydrogenase (decarboxylating),alpha-D-glucose 1-phosphate,Bradyrhizobium japonicum,+,CHEBI:29042
632,1.1.1.39,malate dehydrogenase (decarboxylating),AMP,Crassula argentea,+,CHEBI:16027
633,1.1.1.39,malate dehydrogenase (decarboxylating),aspartate,Sinorhizobium meliloti,+,CHEBI:17053
634,1.1.1.39,malate dehydrogenase (decarboxylating),ATP,Sinorhizobium meliloti,+,CHEBI:15422
635,1.1.1.39,malate dehydrogenase (decarboxylating),CoA,Arabidopsis thaliana,+,CHEBI:15346
636,1.1.1.39,malate dehydrogenase (decarboxylating),coenzyme A,Crassula argentea,+,CHEBI:15346
637,1.1.1.39,malate dehydrogenase (decarboxylating),coenzyme A,Amaranthus edulis,+,CHEBI:15346
638,1.1.1.39,malate dehydrogenase (decarboxylating),coenzyme A,Atriplex spongiosa,+,CHEBI:15346
639,1.1.1.39,malate dehydrogenase (decarboxylating),coenzyme A,Panicum miliaceum,+,CHEBI:15346
640,1.1.1.39,malate dehydrogenase (decarboxylating),coenzyme A,Brassica oleracea,+,CHEBI:15346
641,1.1.1.39,malate dehydrogenase (decarboxylating),coenzyme A,Solanum tuberosum,+,CHEBI:15346
642,1.1.1.39,malate dehydrogenase (decarboxylating),"D-fructose 1,6-bisphosphate",Arabidopsis thaliana,+,CHEBI:28013
644,1.1.1.39,malate dehydrogenase (decarboxylating),D-glucose 6-phosphate,Bradyrhizobium japonicum,+,CHEBI:4170
645,1.1.1.39,malate dehydrogenase (decarboxylating),"fructose 1,6-bisphosphate",Bradyrhizobium japonicum,+,CHEBI:28013
646,1.1.1.39,malate dehydrogenase (decarboxylating),"fructose 1,6-bisphosphate",Crassula argentea,+,CHEBI:28013
647,1.1.1.39,malate dehydrogenase (decarboxylating),"fructose 1,6-bisphosphate",Sinorhizobium meliloti,+,CHEBI:28013
648,1.1.1.39,malate dehydrogenase (decarboxylating),fumarate,Arabidopsis thaliana,+,CHEBI:18012
649,1.1.1.39,malate dehydrogenase (decarboxylating),fumarate,Azorhizobium caulinodans,+,CHEBI:18012
650,1.1.1.39,malate dehydrogenase (decarboxylating),fumarate,Sinorhizobium sp.,+,CHEBI:18012
651,1.1.1.39,malate dehydrogenase (decarboxylating),fumarate,Ascaris suum,+,CHEBI:18012
652,1.1.1.39,malate dehydrogenase (decarboxylating),fumarate,Homo sapiens,+,CHEBI:18012
655,1.1.1.39,malate dehydrogenase (decarboxylating),fumarate,Crassula argentea,+,CHEBI:18012
656,1.1.1.39,malate dehydrogenase (decarboxylating),fumarate,Sinorhizobium meliloti,+,CHEBI:18012
657,1.1.1.39,malate dehydrogenase (decarboxylating),gamma-amino-n-butyrate,Bradyrhizobium japonicum,+,CHEBI:59888
658,1.1.1.39,malate dehydrogenase (decarboxylating),hydroxy-n-butyrate,Bradyrhizobium japonicum,+,CHEBI:30830
659,1.1.1.39,malate dehydrogenase (decarboxylating),Hydroxypyruvate,Bradyrhizobium japonicum,+,CHEBI:30841
660,1.1.1.39,malate dehydrogenase (decarboxylating),L-malate,Ascaris suum,+,CHEBI:30797
661,1.1.1.39,malate dehydrogenase (decarboxylating),L-malate,Amaranthus cruentus,+,CHEBI:30797
662,1.1.1.39,malate dehydrogenase (decarboxylating),NAD+,Amaranthus cruentus,+,CHEBI:15846
663,1.1.1.39,malate dehydrogenase (decarboxylating),oxaloacetate,Arabidopsis thaliana,+,CHEBI:30744
664,1.1.1.39,malate dehydrogenase (decarboxylating),phosphoenolpyruvate,Arabidopsis thaliana,+,CHEBI:44897
665,1.1.1.39,malate dehydrogenase (decarboxylating),phosphoenolpyruvate,Crassula argentea,+,CHEBI:44897
667,1.1.1.39,malate dehydrogenase (decarboxylating),succinate,Azorhizobium caulinodans,+,CHEBI:15741
668,1.1.1.39,malate dehydrogenase (decarboxylating),succinate,Sinorhizobium sp.,+,CHEBI:15741
669,1.1.1.39,malate dehydrogenase (decarboxylating),succinate,Bradyrhizobium japonicum,+,CHEBI:15741
670,1.1.1.39,malate dehydrogenase (decarboxylating),succinate,Sinorhizobium meliloti,+,CHEBI:15741
671,1.1.1.39,malate dehydrogenase (decarboxylating),uridine 5'-diphosphoglucose,Bradyrhizobium japonicum,+,CHEBI:46229
672,1.1.1.4,"(R,R)-butanediol dehydrogenase",DMSO,Rhodococcus erythropolis,+,CHEBI:28262
674,1.1.1.40,malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+),acetyl carnitine,Ricinus communis,+,CHEBI:73024
675,1.1.1.40,malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+),acetyl phosphate,Escherichia coli,+,CHEBI:15350
676,1.1.1.40,malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+),acetyl-CoA,Ricinus communis,+,CHEBI:15351
678,1.1.1.40,malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+),acetyl-CoA,Populus trichocarpa,+,CHEBI:15351
679,1.1.1.40,malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+),aspartate,Nicotiana tabacum,+,CHEBI:17053
680,1.1.1.40,malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+),aspartate,Arabidopsis thaliana,+,CHEBI:17053
681,1.1.1.40,malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+),ATP,Ricinus communis,+,CHEBI:15422
682,1.1.1.40,malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+),citrate,Ricinus communis,+,CHEBI:30769
683,1.1.1.40,malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+),citrate,Zea mays,+,CHEBI:30769
684,1.1.1.40,malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+),citrate,Amaranthus viridis,+,CHEBI:30769
