,EC,Enz,Met,Org,Mode,ChEBI
212,1.1.1.1,alcohol dehydrogenase,ethanol,Homo sapiens,-,CHEBI:16236
213,1.1.1.1,alcohol dehydrogenase,ethanol,Crocus sativus,-,CHEBI:16236
227,1.1.1.1,alcohol dehydrogenase,glutathione,Oryctolagus cuniculus,-,CHEBI:16856
228,1.1.1.1,alcohol dehydrogenase,glutathione,Triticum monococcum,-,CHEBI:16856
229,1.1.1.1,alcohol dehydrogenase,glutathione,Equus caballus,-,CHEBI:16856
230,1.1.1.1,alcohol dehydrogenase,glycolaldehyde,Saccharomyces cerevisiae,-,CHEBI:17071
269,1.1.1.1,alcohol dehydrogenase,Isopropanol,Picrophilus torridus,-,CHEBI:17824
276,1.1.1.1,alcohol dehydrogenase,methanol,Picrophilus torridus,-,CHEBI:17790
298,1.1.1.1,alcohol dehydrogenase,NAD+,Crocus sativus,-,CHEBI:15846
299,1.1.1.1,alcohol dehydrogenase,NADH,Drosophila melanogaster,-,CHEBI:16908
301,1.1.1.1,alcohol dehydrogenase,NADH,Scaptodrosophila lebanonensis,-,CHEBI:16908
302,1.1.1.1,alcohol dehydrogenase,NADH,Equus caballus,-,CHEBI:16908
303,1.1.1.1,alcohol dehydrogenase,NADH,Meyerozyma guilliermondii,-,CHEBI:16908
304,1.1.1.1,alcohol dehydrogenase,NADP+,Homo sapiens,-,CHEBI:18009
320,1.1.1.1,alcohol dehydrogenase,octanoic acid,Equus caballus,-,CHEBI:28837
321,1.1.1.1,alcohol dehydrogenase,octanoic acid,Mus musculus,-,CHEBI:28837
322,1.1.1.1,alcohol dehydrogenase,octanoic acid,Aeropyrum pernix,-,CHEBI:28837
345,1.1.1.1,alcohol dehydrogenase,propan-2-ol,Equus caballus,-,CHEBI:17824
366,1.1.1.1,alcohol dehydrogenase,pyridoxal 5'-phosphate,Vicia faba,-,CHEBI:18405
367,1.1.1.1,alcohol dehydrogenase,quercetin,[Candida] maris,-,CHEBI:16243
369,1.1.1.1,alcohol dehydrogenase,salicylate,Homo sapiens,-,CHEBI:16914
395,1.1.1.1,alcohol dehydrogenase,Urea,Thermus sp.,-,CHEBI:16199
396,1.1.1.1,alcohol dehydrogenase,Urea,Picrophilus torridus,-,CHEBI:16199
397,1.1.1.1,alcohol dehydrogenase,Vanillin,Mus musculus,-,CHEBI:18346
423,1.1.1.10,L-xylulose reductase,acetoacetic acid,Homo sapiens,-,CHEBI:15344
424,1.1.1.10,L-xylulose reductase,acetoacetic acid,Mesocricetus auratus,-,CHEBI:15344
425,1.1.1.10,L-xylulose reductase,acetoacetic acid,Rattus norvegicus,-,CHEBI:15344
427,1.1.1.10,L-xylulose reductase,cysteine,Homo sapiens,-,CHEBI:35235
429,1.1.1.10,L-xylulose reductase,heptanoic acid,Homo sapiens,-,CHEBI:45571
430,1.1.1.10,L-xylulose reductase,heptanoic acid,Mesocricetus auratus,-,CHEBI:45571
431,1.1.1.10,L-xylulose reductase,heptanoic acid,Mus musculus,-,CHEBI:45571
432,1.1.1.10,L-xylulose reductase,heptanoic acid,Rattus norvegicus,-,CHEBI:45571
433,1.1.1.10,L-xylulose reductase,hexanoic acid,Homo sapiens,-,CHEBI:30776
434,1.1.1.10,L-xylulose reductase,hexanoic acid,Mesocricetus auratus,-,CHEBI:30776
435,1.1.1.10,L-xylulose reductase,hexanoic acid,Rattus norvegicus,-,CHEBI:30776
436,1.1.1.10,L-xylulose reductase,hexanoic acid,Mus musculus,-,CHEBI:30776
445,1.1.1.10,L-xylulose reductase,octanoic acid,Mesocricetus auratus,-,CHEBI:28837
446,1.1.1.10,L-xylulose reductase,oxaloacetic acid,Homo sapiens,-,CHEBI:30744
447,1.1.1.10,L-xylulose reductase,oxaloacetic acid,Mesocricetus auratus,-,CHEBI:30744
448,1.1.1.10,L-xylulose reductase,oxaloacetic acid,Mus musculus,-,CHEBI:30744
450,1.1.1.10,L-xylulose reductase,pentanoic acid,Homo sapiens,-,CHEBI:17418
451,1.1.1.10,L-xylulose reductase,pentanoic acid,Mesocricetus auratus,-,CHEBI:17418
452,1.1.1.10,L-xylulose reductase,pentanoic acid,Mus musculus,-,CHEBI:17418
453,1.1.1.10,L-xylulose reductase,pentanoic acid,Rattus norvegicus,-,CHEBI:17418
460,1.1.1.10,L-xylulose reductase,Pyruvic acid,Homo sapiens,-,CHEBI:32816
461,1.1.1.10,L-xylulose reductase,Pyruvic acid,Mesocricetus auratus,-,CHEBI:32816
462,1.1.1.10,L-xylulose reductase,Pyruvic acid,Rattus norvegicus,-,CHEBI:32816
463,1.1.1.10,L-xylulose reductase,Pyruvic acid,Mus musculus,-,CHEBI:32816
484,1.1.1.100,3-oxoacyl-[acyl-carrier-protein] reductase,bithionol,Plasmodium falciparum,-,CHEBI:27762
495,1.1.1.100,3-oxoacyl-[acyl-carrier-protein] reductase,NADP+,Escherichia coli,-,CHEBI:18009
496,1.1.1.100,3-oxoacyl-[acyl-carrier-protein] reductase,NADP+,Streptococcus pneumoniae,-,CHEBI:18009
497,1.1.1.100,3-oxoacyl-[acyl-carrier-protein] reductase,NADP+,Mycobacterium tuberculosis,-,CHEBI:18009
501,1.1.1.100,3-oxoacyl-[acyl-carrier-protein] reductase,quercetin,Escherichia coli,-,CHEBI:16243
502,1.1.1.100,3-oxoacyl-[acyl-carrier-protein] reductase,quercetin,synthetic construct,-,CHEBI:16243
525,1.1.1.100,3-oxoacyl-[acyl-carrier-protein] reductase,Urea,Plasmodium falciparum,-,CHEBI:16199
533,1.1.1.101,acylglycerone-phosphate reductase,NADP+,Cavia porcellus,-,CHEBI:18009
535,1.1.1.101,acylglycerone-phosphate reductase,palmitoyl-CoA,Cavia porcellus,-,CHEBI:15525
553,1.1.1.103,L-threonine 3-dehydrogenase,aminoacetone,Sus scrofa,-,CHEBI:17906
563,1.1.1.103,L-threonine 3-dehydrogenase,dipicolinic acid,Escherichia coli,-,CHEBI:46837
571,1.1.1.103,L-threonine 3-dehydrogenase,HCO3-,Sus scrofa,-,CHEBI:17544
586,1.1.1.103,L-threonine 3-dehydrogenase,L-2-amino-3-oxobutyrate,Pyrococcus horikoshii,-,CHEBI:78948
588,1.1.1.103,L-threonine 3-dehydrogenase,methylglyoxal,Capra hircus,-,CHEBI:17158
596,1.1.1.103,L-threonine 3-dehydrogenase,NAD+,Escherichia coli,-,CHEBI:15846
597,1.1.1.103,L-threonine 3-dehydrogenase,NADH,Gallus gallus,-,CHEBI:16908
598,1.1.1.103,L-threonine 3-dehydrogenase,NADH,Sus scrofa,-,CHEBI:16908
599,1.1.1.103,L-threonine 3-dehydrogenase,NADH,Cytophaga sp.,-,CHEBI:16908
611,1.1.1.103,L-threonine 3-dehydrogenase,pyruvate,Thermoplasma volcanium,-,CHEBI:32816
612,1.1.1.103,L-threonine 3-dehydrogenase,pyruvate,Cytophaga sp.,-,CHEBI:32816
642,1.1.1.107,pyridoxal 4-dehydrogenase,pyridoxal,Microbacterium luteolum,-,CHEBI:17310
643,1.1.1.107,pyridoxal 4-dehydrogenase,pyridoxamine,Pseudomonas sp.,-,CHEBI:16410
644,1.1.1.107,pyridoxal 4-dehydrogenase,pyridoxine,Pseudomonas sp.,-,CHEBI:16709
646,1.1.1.108,carnitine 3-dehydrogenase,3-deydrocarnitine,Pseudomonas aeruginosa,-,CHEBI:16244
666,1.1.1.108,carnitine 3-dehydrogenase,NADH,Pseudomonas aeruginosa,-,CHEBI:16908
705,1.1.1.114,apiose 1-reductase,NADH,Micrococcus sp.,-,CHEBI:16908
713,1.1.1.116,D-arabinose 1-dehydrogenase (NAD+),D-glucose,Pseudomonas sp.,-,CHEBI:4167
724,1.1.1.116,D-arabinose 1-dehydrogenase (NAD+),NADH,Sus scrofa,-,CHEBI:16908
725,1.1.1.116,D-arabinose 1-dehydrogenase (NAD+),NADPH,Candida albicans,-,CHEBI:16474
734,1.1.1.117,D-arabinose 1-dehydrogenase [NAD(P)+],NADPH,Candida albicans,-,CHEBI:16474
743,1.1.1.118,glucose 1-dehydrogenase (NAD+),NADPH,Saccharolobus solfataricus,-,CHEBI:16474
750,1.1.1.119,glucose 1-dehydrogenase (NADP+),NAD(P)+,Haloferax mediterranei,-,CHEBI:18009
751,1.1.1.119,glucose 1-dehydrogenase (NADP+),NAD+,Haloferax mediterranei,-,CHEBI:15846
752,1.1.1.119,glucose 1-dehydrogenase (NADP+),NADP+,Haloferax mediterranei,-,CHEBI:18009
753,1.1.1.119,glucose 1-dehydrogenase (NADP+),NADPH,Gluconobacter cerinus,-,CHEBI:16474
769,1.1.1.120,galactose 1-dehydrogenase (NADP+),cysteine,Pseudomonas putida,-,CHEBI:35235
770,1.1.1.120,galactose 1-dehydrogenase (NADP+),glutathione,Pseudomonas putida,-,CHEBI:16856
773,1.1.1.120,galactose 1-dehydrogenase (NADP+),thioglycolate,Pseudomonas putida,-,CHEBI:30065
780,1.1.1.121,aldose 1-dehydrogenase (NAD+),catechol,Thermus thermophilus,-,CHEBI:18135
796,1.1.1.122,D-threo-aldose 1-dehydrogenase,ADP,Ovis aries,-,CHEBI:16761
798,1.1.1.122,D-threo-aldose 1-dehydrogenase,ATP,Ovis aries,-,CHEBI:15422
805,1.1.1.122,D-threo-aldose 1-dehydrogenase,D-galactose,Trinickia caryophylli,-,CHEBI:4139
806,1.1.1.122,D-threo-aldose 1-dehydrogenase,D-glucose,Trinickia caryophylli,-,CHEBI:4167
815,1.1.1.122,D-threo-aldose 1-dehydrogenase,L-rhamnose,Trinickia caryophylli,-,CHEBI:62346
818,1.1.1.122,D-threo-aldose 1-dehydrogenase,NADH,Ovis aries,-,CHEBI:16908
826,1.1.1.123,sorbose 5-dehydrogenase (NADP+),NADP+,Saccharomyces cerevisiae,-,CHEBI:18009
828,1.1.1.124,fructose 5-dehydrogenase (NADP+),D-fructose,Gluconobacter cerinus,-,CHEBI:37721
829,1.1.1.124,fructose 5-dehydrogenase (NADP+),D-fructose,Erwinia sp.,-,CHEBI:37721
830,1.1.1.124,fructose 5-dehydrogenase (NADP+),NADP+,Erwinia sp.,-,CHEBI:18009
831,1.1.1.124,fructose 5-dehydrogenase (NADP+),NADPH,Erwinia sp.,-,CHEBI:16474
833,1.1.1.125,2-deoxy-D-gluconate 3-dehydrogenase,NAD+,Pseudomonas sp.,-,CHEBI:15846
837,1.1.1.127,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase,ATP,Dickeya chrysanthemi,-,CHEBI:15422
847,1.1.1.132,GDP-mannose 6-dehydrogenase,ATP,Pseudomonas aeruginosa,-,CHEBI:15422
850,1.1.1.132,GDP-mannose 6-dehydrogenase,D-maltose,Pseudomonas aeruginosa,-,CHEBI:18167
853,1.1.1.132,GDP-mannose 6-dehydrogenase,GMP,Pseudomonas aeruginosa,-,CHEBI:17345
855,1.1.1.132,GDP-mannose 6-dehydrogenase,guanosine,Pseudomonas aeruginosa,-,CHEBI:16750
858,1.1.1.132,GDP-mannose 6-dehydrogenase,maltose,Pseudomonas aeruginosa,-,CHEBI:18167
865,1.1.1.132,GDP-mannose 6-dehydrogenase,NADPH,Ectocarpus siliculosus,-,CHEBI:16474
875,1.1.1.136,UDP-N-acetylglucosamine 6-dehydrogenase,ethanol,Micrococcus luteus,-,CHEBI:16236
877,1.1.1.136,UDP-N-acetylglucosamine 6-dehydrogenase,NADH,Alcaligenes sp.,-,CHEBI:16908
879,1.1.1.137,ribitol-5-phosphate 2-dehydrogenase,ATP,Lacticaseibacillus casei,-,CHEBI:15422
891,1.1.1.138,mannitol 2-dehydrogenase (NADP+),D-fructose,Tuber borchii,-,CHEBI:37721
892,1.1.1.138,mannitol 2-dehydrogenase (NADP+),D-fructose,Fusarium graminearum,-,CHEBI:37721
893,1.1.1.138,mannitol 2-dehydrogenase (NADP+),D-fructose,Alternaria alternata,-,CHEBI:37721
894,1.1.1.138,mannitol 2-dehydrogenase (NADP+),D-mannitol,Starmerella magnoliae,-,CHEBI:16899
895,1.1.1.138,mannitol 2-dehydrogenase (NADP+),D-mannitol,Tuber borchii,-,CHEBI:16899
900,1.1.1.138,mannitol 2-dehydrogenase (NADP+),ethanol,Starmerella magnoliae,-,CHEBI:16236
902,1.1.1.138,mannitol 2-dehydrogenase (NADP+),glutathione,Starmerella magnoliae,-,CHEBI:16856
907,1.1.1.138,mannitol 2-dehydrogenase (NADP+),L-cysteine,Starmerella magnoliae,-,CHEBI:35235
912,1.1.1.138,mannitol 2-dehydrogenase (NADP+),NADP+,Starmerella magnoliae,-,CHEBI:18009
913,1.1.1.138,mannitol 2-dehydrogenase (NADP+),NADP+,Agaricus bisporus,-,CHEBI:18009
915,1.1.1.138,mannitol 2-dehydrogenase (NADP+),NADP+,Tuber borchii,-,CHEBI:18009
916,1.1.1.138,mannitol 2-dehydrogenase (NADP+),NADP+,Aspergillus parasiticus,-,CHEBI:18009
917,1.1.1.138,mannitol 2-dehydrogenase (NADP+),NADP+,Penicillium chrysogenum,-,CHEBI:18009
918,1.1.1.138,mannitol 2-dehydrogenase (NADP+),NADPH,Agaricus bisporus,-,CHEBI:16474
920,1.1.1.138,mannitol 2-dehydrogenase (NADP+),NADPH,Tuber borchii,-,CHEBI:16474
921,1.1.1.138,mannitol 2-dehydrogenase (NADP+),NADPH,Fusarium graminearum,-,CHEBI:16474
930,1.1.1.14,L-iditol 2-dehydrogenase,"1,2,3,4,5,6-cyclohexanehexolphosphoric acid",Ovis aries,-,CHEBI:17401
939,1.1.1.14,L-iditol 2-dehydrogenase,2-hydroxybenzoic acid,Ovis aries,-,CHEBI:16914
951,1.1.1.14,L-iditol 2-dehydrogenase,"3,4-dihydroxyphenyl-ethanediol",Ovis aries,-,CHEBI:1387
960,1.1.1.14,L-iditol 2-dehydrogenase,acetic acid amide,Ovis aries,-,CHEBI:27856
961,1.1.1.14,L-iditol 2-dehydrogenase,ADP,Scheffersomyces stipitis,-,CHEBI:16761
966,1.1.1.14,L-iditol 2-dehydrogenase,AMP,Scheffersomyces stipitis,-,CHEBI:16027
967,1.1.1.14,L-iditol 2-dehydrogenase,ATP,Scheffersomyces stipitis,-,CHEBI:15422
971,1.1.1.14,L-iditol 2-dehydrogenase,butanedioic acid,Ovis aries,-,CHEBI:15741
986,1.1.1.14,L-iditol 2-dehydrogenase,cysteine,Ovis aries,-,CHEBI:35235
987,1.1.1.14,L-iditol 2-dehydrogenase,cysteine,Rattus norvegicus,-,CHEBI:35235
990,1.1.1.14,L-iditol 2-dehydrogenase,cysteine,Pyrus pyrifolia,-,CHEBI:35235
991,1.1.1.14,L-iditol 2-dehydrogenase,cysteine,Malus domestica,-,CHEBI:35235
992,1.1.1.14,L-iditol 2-dehydrogenase,D-fructose,Rattus norvegicus,-,CHEBI:37721
993,1.1.1.14,L-iditol 2-dehydrogenase,D-fructose,Ovis aries,-,CHEBI:37721
1012,1.1.1.14,L-iditol 2-dehydrogenase,ethanedioic acid,Ovis aries,-,CHEBI:16995
1015,1.1.1.14,L-iditol 2-dehydrogenase,glutathione,Ovis aries,-,CHEBI:16856
1039,1.1.1.14,L-iditol 2-dehydrogenase,NAD+,Gallus gallus,-,CHEBI:15846
1040,1.1.1.14,L-iditol 2-dehydrogenase,NAD+,Scheffersomyces stipitis,-,CHEBI:15846
1041,1.1.1.14,L-iditol 2-dehydrogenase,NAD+,Equus caballus,-,CHEBI:15846
1042,1.1.1.14,L-iditol 2-dehydrogenase,NAD+,Rattus norvegicus,-,CHEBI:15846
1043,1.1.1.14,L-iditol 2-dehydrogenase,NADH,Gallus gallus,-,CHEBI:16908
1044,1.1.1.14,L-iditol 2-dehydrogenase,NADH,Rattus norvegicus,-,CHEBI:16908
1045,1.1.1.14,L-iditol 2-dehydrogenase,NADH,Ovis aries,-,CHEBI:16908
1057,1.1.1.14,L-iditol 2-dehydrogenase,propanedioic acid,Ovis aries,-,CHEBI:30794
1060,1.1.1.14,L-iditol 2-dehydrogenase,quercetin,Bos taurus,-,CHEBI:16243
1061,1.1.1.14,L-iditol 2-dehydrogenase,quercetin,Ovis aries,-,CHEBI:16243
1070,1.1.1.14,L-iditol 2-dehydrogenase,Urea,Ovis aries,-,CHEBI:16199
1080,1.1.1.140,sorbitol-6-phosphate 2-dehydrogenase,CO32-,Klebsiella aerogenes,-,CHEBI:41609
1081,1.1.1.140,sorbitol-6-phosphate 2-dehydrogenase,D-mannose 6-phosphate,Escherichia coli,-,CHEBI:48066
1087,1.1.1.140,sorbitol-6-phosphate 2-dehydrogenase,NADH,Clostridium pasteurianum,-,CHEBI:16908
1124,1.1.1.141,15-hydroxyprostaglandin dehydrogenase (NAD+),"2-methyl-1,4-naphthoquinone",Homo sapiens,-,CHEBI:28869
1235,1.1.1.141,15-hydroxyprostaglandin dehydrogenase (NAD+),ethanol,Homo sapiens,-,CHEBI:16236
1236,1.1.1.141,15-hydroxyprostaglandin dehydrogenase (NAD+),ethanol,Rattus norvegicus,-,CHEBI:16236
1242,1.1.1.141,15-hydroxyprostaglandin dehydrogenase (NAD+),glycerol,Homo sapiens,-,CHEBI:17754
1243,1.1.1.141,15-hydroxyprostaglandin dehydrogenase (NAD+),hexadecanoic acid,Homo sapiens,-,CHEBI:15756
1253,1.1.1.141,15-hydroxyprostaglandin dehydrogenase (NAD+),linoleic acid,Oryctolagus cuniculus,-,CHEBI:17351
1266,1.1.1.141,15-hydroxyprostaglandin dehydrogenase (NAD+),NAD+,Homo sapiens,-,CHEBI:15846
1267,1.1.1.141,15-hydroxyprostaglandin dehydrogenase (NAD+),NAD+,Sus scrofa,-,CHEBI:15846
1268,1.1.1.141,15-hydroxyprostaglandin dehydrogenase (NAD+),NADH,Gallus gallus,-,CHEBI:16908
1269,1.1.1.141,15-hydroxyprostaglandin dehydrogenase (NAD+),NADH,Homo sapiens,-,CHEBI:16908
1270,1.1.1.141,15-hydroxyprostaglandin dehydrogenase (NAD+),NADH,Sus scrofa,-,CHEBI:16908
1271,1.1.1.141,15-hydroxyprostaglandin dehydrogenase (NAD+),NADPH,Gallus gallus,-,CHEBI:16474
1272,1.1.1.141,15-hydroxyprostaglandin dehydrogenase (NAD+),NADPH,Homo sapiens,-,CHEBI:16474
1273,1.1.1.141,15-hydroxyprostaglandin dehydrogenase (NAD+),NADPH,Sus scrofa,-,CHEBI:16474
1282,1.1.1.141,15-hydroxyprostaglandin dehydrogenase (NAD+),octadecanoic acid,Homo sapiens,-,CHEBI:28842
1299,1.1.1.141,15-hydroxyprostaglandin dehydrogenase (NAD+),pyridoxal 5'-phosphate,Homo sapiens,-,CHEBI:18405
1348,1.1.1.144,perillyl-alcohol dehydrogenase,NADH,Pseudomonas sp.,-,CHEBI:16908
1383,1.1.1.145,3beta-hydroxy-DELTA5-steroid dehydrogenase,17beta-estradiol,Bos taurus,-,CHEBI:16469
1418,1.1.1.145,3beta-hydroxy-DELTA5-steroid dehydrogenase,dehydroepiandrosterone,Rhinella arenarum,-,CHEBI:28689
1433,1.1.1.145,3beta-hydroxy-DELTA5-steroid dehydrogenase,estradiol,Rattus norvegicus,-,CHEBI:16469
1434,1.1.1.145,3beta-hydroxy-DELTA5-steroid dehydrogenase,estradiol-17beta,Gallus gallus,-,CHEBI:16469
1465,1.1.1.145,3beta-hydroxy-DELTA5-steroid dehydrogenase,NADH,Mycobacterium tuberculosis,-,CHEBI:16908
1475,1.1.1.145,3beta-hydroxy-DELTA5-steroid dehydrogenase,oestradiol,Rattus norvegicus,-,CHEBI:16469
1480,1.1.1.145,3beta-hydroxy-DELTA5-steroid dehydrogenase,pregnenolone,Bos taurus,-,CHEBI:16581
1486,1.1.1.145,3beta-hydroxy-DELTA5-steroid dehydrogenase,quercetin,Homo sapiens,-,CHEBI:16243
1699,1.1.1.146,11beta-hydroxysteroid dehydrogenase,(3beta)-3-hydroxyandrost-5-en-17-one,Rattus norvegicus,-,CHEBI:28689
1931,1.1.1.146,11beta-hydroxysteroid dehydrogenase,17beta-estradiol,Rattus norvegicus,-,CHEBI:16469
1932,1.1.1.146,11beta-hydroxysteroid dehydrogenase,17beta-estradiol,Mus musculus,-,CHEBI:16469
2739,1.1.1.146,11beta-hydroxysteroid dehydrogenase,5alpha-pregnan-3alpha-ol-20-one,Rattus sp.,-,CHEBI:50169
2872,1.1.1.146,11beta-hydroxysteroid dehydrogenase,chenodeoxycholic acid,Homo sapiens,-,CHEBI:16755
2873,1.1.1.146,11beta-hydroxysteroid dehydrogenase,cholesterol,Rattus sp.,-,CHEBI:16113
2903,1.1.1.146,11beta-hydroxysteroid dehydrogenase,estradiol,Rattus norvegicus,-,CHEBI:16469
2960,1.1.1.146,11beta-hydroxysteroid dehydrogenase,lanosterol,Rattus sp.,-,CHEBI:16521
3105,1.1.1.146,11beta-hydroxysteroid dehydrogenase,NADP+,Rattus norvegicus,-,CHEBI:18009
3106,1.1.1.146,11beta-hydroxysteroid dehydrogenase,NADP+,Rattus sp.,-,CHEBI:18009
3138,1.1.1.146,11beta-hydroxysteroid dehydrogenase,quercetin,Homo sapiens,-,CHEBI:16243
3211,1.1.1.149,20alpha-hydroxysteroid dehydrogenase,17beta-estradiol,Rattus norvegicus,-,CHEBI:16469
3226,1.1.1.149,20alpha-hydroxysteroid dehydrogenase,"3',5'-cyclic AMP",Rattus norvegicus,-,CHEBI:17489
3241,1.1.1.149,20alpha-hydroxysteroid dehydrogenase,5'-adenosine diphosphate,Rattus norvegicus,-,CHEBI:16761
3242,1.1.1.149,20alpha-hydroxysteroid dehydrogenase,5'-Adenosine triphosphate,Rattus norvegicus,-,CHEBI:15422
3243,1.1.1.149,20alpha-hydroxysteroid dehydrogenase,5'-adenylic acid,Rattus norvegicus,-,CHEBI:16027
3244,1.1.1.149,20alpha-hydroxysteroid dehydrogenase,5'-ADP,Rattus norvegicus,-,CHEBI:16761
3245,1.1.1.149,20alpha-hydroxysteroid dehydrogenase,5'-ATP,Rattus norvegicus,-,CHEBI:15422
3280,1.1.1.149,20alpha-hydroxysteroid dehydrogenase,diazepam,Homo sapiens,-,CHEBI:49575
3289,1.1.1.149,20alpha-hydroxysteroid dehydrogenase,fatty acids,Tetrahymena pyriformis,-,CHEBI:28842
3290,1.1.1.149,20alpha-hydroxysteroid dehydrogenase,fatty acids,Tetrahymena thermophila,-,CHEBI:28842
3299,1.1.1.149,20alpha-hydroxysteroid dehydrogenase,glycerol,Sus scrofa,-,CHEBI:17754
3310,1.1.1.149,20alpha-hydroxysteroid dehydrogenase,lithocholic acid,Homo sapiens,-,CHEBI:16325
3343,1.1.1.149,20alpha-hydroxysteroid dehydrogenase,NAD+,Rattus norvegicus,-,CHEBI:15846
3344,1.1.1.149,20alpha-hydroxysteroid dehydrogenase,NADH,[Clostridium] scindens,-,CHEBI:16908
3345,1.1.1.149,20alpha-hydroxysteroid dehydrogenase,NADP+,Tetrahymena pyriformis,-,CHEBI:18009
3346,1.1.1.149,20alpha-hydroxysteroid dehydrogenase,NADP+,Tetrahymena thermophila,-,CHEBI:18009
3347,1.1.1.149,20alpha-hydroxysteroid dehydrogenase,NADP+,Rattus norvegicus,-,CHEBI:18009
3348,1.1.1.149,20alpha-hydroxysteroid dehydrogenase,NADPH,Rattus norvegicus,-,CHEBI:16474
3364,1.1.1.149,20alpha-hydroxysteroid dehydrogenase,pyridoxal 5'-phosphate,Sus scrofa,-,CHEBI:18405
3365,1.1.1.149,20alpha-hydroxysteroid dehydrogenase,quercetin,Mus musculus,-,CHEBI:16243
3368,1.1.1.149,20alpha-hydroxysteroid dehydrogenase,quercetin,Oryctolagus cuniculus,-,CHEBI:16243
3372,1.1.1.149,20alpha-hydroxysteroid dehydrogenase,salicylate,Homo sapiens,-,CHEBI:16914
3381,1.1.1.149,20alpha-hydroxysteroid dehydrogenase,Ursodeoxycholic acid,Homo sapiens,-,CHEBI:9907
3385,1.1.1.150,21-hydroxysteroid dehydrogenase (NAD+),NAD+,Ovis aries,-,CHEBI:15846
3386,1.1.1.150,21-hydroxysteroid dehydrogenase (NAD+),NADP+,Ovis aries,-,CHEBI:18009
3390,1.1.1.151,21-hydroxysteroid dehydrogenase (NADP+),NADH,Ovis aries,-,CHEBI:16908
3391,1.1.1.151,21-hydroxysteroid dehydrogenase (NADP+),NADPH,Ovis aries,-,CHEBI:16474
3455,1.1.1.153,"sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)",1-norepinephrine,Rattus norvegicus,-,CHEBI:18357
3490,1.1.1.153,"sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)",acetic acid,Homo sapiens,-,CHEBI:15366
3491,1.1.1.153,"sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)",acetic acid,Drosophila melanogaster,-,CHEBI:15366
3492,1.1.1.153,"sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)",acetic acid,Equus caballus,-,CHEBI:15366
3495,1.1.1.153,"sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)",alpha-ketoglutarate,Rattus norvegicus,-,CHEBI:16810
3496,1.1.1.153,"sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)",benzoic acid,Equus caballus,-,CHEBI:30746
3499,1.1.1.153,"sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)",biopterin-H2,Equus caballus,-,CHEBI:43029
3508,1.1.1.153,"sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)",D-erythro-neopterin-H2,Equus caballus,-,CHEBI:17001
