	EC	Enz	Met	Org	Mode	ChEBI
22	1.1.1.159	7alpha-hydroxysteroid dehydrogenase	NAD+	Bacteroides intestinalis	+	CHEBI:15846
23	1.1.1.159	7alpha-hydroxysteroid dehydrogenase	NAD+	Escherichia coli	+	CHEBI:15846
24	1.1.1.169	2-dehydropantoate 2-reductase	formate	Escherichia coli	+	CHEBI:30751
25	1.1.1.184	carbonyl reductase (NADPH)	2-propanol	Candida viswanathii	+	CHEBI:17824
26	1.1.1.184	carbonyl reductase (NADPH)	fatty acids	Sus scrofa	+	CHEBI:28842
27	1.1.1.188	prostaglandin-F synthase	GSH	Homo sapiens	+	CHEBI:16856
28	1.1.1.188	prostaglandin-F synthase	GSH	Ovis aries	+	CHEBI:16856
29	1.1.1.189	prostaglandin-E2 9-reductase	ATP	Gallus gallus	+	CHEBI:15422
30	1.1.1.189	prostaglandin-E2 9-reductase	CTP	Gallus gallus	+	CHEBI:17677
31	1.1.1.189	prostaglandin-E2 9-reductase	GTP	Gallus gallus	+	CHEBI:15996
32	1.1.1.191	indole-3-acetaldehyde reductase (NADPH)	indole-3-acetic acid	Brassica rapa	+	CHEBI:16411
33	1.1.1.191	indole-3-acetaldehyde reductase (NADPH)	indole-3-ethanol	Brassica rapa	+	CHEBI:17890
34	1.1.1.2	alcohol dehydrogenase (NADP+)	adenosine	Rattus norvegicus	+	CHEBI:16335
35	1.1.1.2	alcohol dehydrogenase (NADP+)	Isopropanol	Thermococcus guaymasensis	+	CHEBI:17824
36	1.1.1.202	1,3-propanediol dehydrogenase	fumarate	Klebsiella pneumoniae	+	CHEBI:18012
37	1.1.1.202	1,3-propanediol dehydrogenase	glycerol	Escherichia coli	+	CHEBI:17754
38	1.1.1.202	1,3-propanediol dehydrogenase	glycerol	Klebsiella pneumoniae	+	CHEBI:17754
39	1.1.1.202	1,3-propanediol dehydrogenase	glycerol	Klebsiella pneumoniae	+	CHEBI:17754
40	1.1.1.205	IMP dehydrogenase	ADP	Homo sapiens	+	CHEBI:16761
41	1.1.1.205	IMP dehydrogenase	AMP	Homo sapiens	+	CHEBI:16027
42	1.1.1.205	IMP dehydrogenase	ATP	Eremothecium gossypii	+	CHEBI:15422
43	1.1.1.205	IMP dehydrogenase	ATP	Schizosaccharomyces pombe	+	CHEBI:15422
44	1.1.1.205	IMP dehydrogenase	ATP	Homo sapiens	+	CHEBI:15422
45	1.1.1.205	IMP dehydrogenase	ATP	Eremothecium gossypii	+	CHEBI:15422
46	1.1.1.205	IMP dehydrogenase	cysteine	Klebsiella aerogenes	+	CHEBI:35235
47	1.1.1.205	IMP dehydrogenase	dimethyl sulfoxide	Bacillus anthracis	+	CHEBI:28262
48	1.1.1.205	IMP dehydrogenase	glutathione	Escherichia coli	+	CHEBI:16856
49	1.1.1.205	IMP dehydrogenase	glutathione	Klebsiella aerogenes	+	CHEBI:16856
50	1.1.1.205	IMP dehydrogenase	glutathione	Klebsiella aerogenes	+	CHEBI:16856
51	1.1.1.205	IMP dehydrogenase	glutathione	Bacillus subtilis	+	CHEBI:16856
52	1.1.1.21	aldose reductase	D-xylose	Cyberlindnera jadinii	+	CHEBI:53455
53	1.1.1.21	aldose reductase	glutathione	Leishmania donovani	+	CHEBI:16856
54	1.1.1.21	aldose reductase	methylglyoxal	Rattus norvegicus	+	CHEBI:17158
55	1.1.1.21	aldose reductase	NADPH	Homo sapiens	+	CHEBI:16474
56	1.1.1.21	aldose reductase	pyridoxal 5'-phosphate	Homo sapiens	+	CHEBI:18405
57	1.1.1.21	aldose reductase	sorbitol	Rattus norvegicus	+	CHEBI:17924
58	1.1.1.216	farnesol dehydrogenase (NADP+)	FAD	Manduca sexta	+	CHEBI:16238
59	1.1.1.22	UDP-glucose 6-dehydrogenase	17beta-estradiol	Oryctolagus cuniculus	+	CHEBI:16469
60	1.1.1.22	UDP-glucose 6-dehydrogenase	ADP	Escherichia coli	+	CHEBI:16761
61	1.1.1.22	UDP-glucose 6-dehydrogenase	ATP	Escherichia coli	+	CHEBI:15422
62	1.1.1.22	UDP-glucose 6-dehydrogenase	ATP	Escherichia coli	+	CHEBI:15422
63	1.1.1.22	UDP-glucose 6-dehydrogenase	dATP	Escherichia coli	+	CHEBI:16284
64	1.1.1.22	UDP-glucose 6-dehydrogenase	lactose	Streptococcus equi	+	CHEBI:36218
65	1.1.1.22	UDP-glucose 6-dehydrogenase	UDP	Escherichia coli	+	CHEBI:17659
66	1.1.1.22	UDP-glucose 6-dehydrogenase	UTP	Escherichia coli	+	CHEBI:15713
67	1.1.1.237	hydroxyphenylpyruvate reductase	ascorbic acid	Plectranthus scutellarioides	+	CHEBI:29073
68	1.1.1.237	hydroxyphenylpyruvate reductase	L-tyrosine	Plectranthus scutellarioides	+	CHEBI:58315
69	1.1.1.24	quinate/shikimate dehydrogenase (NAD+)	phosphoenolpyruvate	Vigna radiata	+	CHEBI:44897
70	1.1.1.267	1-deoxy-D-xylulose-5-phosphate reductoisomerase	salicylic acid	Salvia miltiorrhiza	+	CHEBI:16914
71	1.1.1.268	2-(R)-hydroxypropyl-CoM dehydrogenase	ethanesulfonate	Xanthobacter autotrophicus	+	CHEBI:42465
72	1.1.1.268	2-(R)-hydroxypropyl-CoM dehydrogenase	ethanesulfonate	Xanthobacter autotrophicus	+	CHEBI:42465
73	1.1.1.268	2-(R)-hydroxypropyl-CoM dehydrogenase	methanesulfonate	Xanthobacter autotrophicus	+	CHEBI:25224
74	1.1.1.27	L-lactate dehydrogenase	2-glycerophosphate	Solanum tuberosum	+	CHEBI:17270
75	1.1.1.27	L-lactate dehydrogenase	3-phosphoglycerate	Solanum tuberosum	+	CHEBI:17794
76	1.1.1.27	L-lactate dehydrogenase	ADP	Bos taurus	+	CHEBI:16761
77	1.1.1.27	L-lactate dehydrogenase	D-fructose 1,6-bisphosphate	Geobacillus stearothermophilus	+	CHEBI:28013
78	1.1.1.27	L-lactate dehydrogenase	D-fructose 1,6-bisphosphate	Geobacillus stearothermophilus	+	CHEBI:28013
79	1.1.1.27	L-lactate dehydrogenase	D-fructose 1,6-bisphosphate	Priestia megaterium	+	CHEBI:28013
80	1.1.1.27	L-lactate dehydrogenase	D-fructose 1,6-bisphosphate	Lactococcus lactis	+	CHEBI:28013
81	1.1.1.27	L-lactate dehydrogenase	D-fructose 1,6-bisphosphate	Thermoanaerobacter ethanolicus	+	CHEBI:28013
82	1.1.1.27	L-lactate dehydrogenase	D-fructose 1,6-diphosphate	Geobacillus stearothermophilus	+	CHEBI:28013
83	1.1.1.27	L-lactate dehydrogenase	D-fructose-1,6-bisphophate	Lactococcus cremoris	+	CHEBI:28013
84	1.1.1.27	L-lactate dehydrogenase	D-fructose-1,6-bisphosphate	Weizmannia coagulans	+	CHEBI:28013
85	1.1.1.27	L-lactate dehydrogenase	D-fructose-1,6-bisphosphate	Enterococcus mundtii	+	CHEBI:28013
86	1.1.1.27	L-lactate dehydrogenase	D-fructose-1,6-bisphosphate	Enterococcus mundtii	+	CHEBI:28013
87	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-bisphosphate	Geobacillus stearothermophilus	+	CHEBI:28013
88	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Thermoanaerobacter ethanolicus	+	CHEBI:28013
89	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Enterococcus faecalis	+	CHEBI:28013
90	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Lactococcus lactis	+	CHEBI:28013
91	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Staphylococcus epidermidis	+	CHEBI:28013
92	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Streptococcus uberis	+	CHEBI:28013
93	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Actinomyces viscosus	+	CHEBI:28013
94	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Bifidobacterium bifidum	+	CHEBI:28013
95	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Bifidobacterium longum	+	CHEBI:28013
96	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Butyrivibrio fibrisolvens	+	CHEBI:28013
97	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Enterococcus faecalis	+	CHEBI:28013
98	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Enterococcus faecium	+	CHEBI:28013
99	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Lacticaseibacillus casei	+	CHEBI:28013
100	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Lactococcus cremoris	+	CHEBI:28013
101	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Lactococcus lactis	+	CHEBI:28013
102	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Lactococcus raffinolactis	+	CHEBI:28013
103	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Lapidilactobacillus dextrinicus	+	CHEBI:28013
104	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Latilactobacillus curvatus	+	CHEBI:28013
105	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Rothia dentocariosa	+	CHEBI:28013
106	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Staphylococcus epidermidis	+	CHEBI:28013
107	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Streptococcus acidominimus	+	CHEBI:28013
108	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Streptococcus agalactiae	+	CHEBI:28013
109	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Streptococcus equinus	+	CHEBI:28013
110	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Streptococcus milleri	+	CHEBI:28013
111	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Streptococcus mitior	+	CHEBI:28013
112	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Streptococcus mutans	+	CHEBI:28013
113	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Streptococcus salivarius	+	CHEBI:28013
114	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Streptococcus sanguinis	+	CHEBI:28013
115	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Streptococcus thermophilus	+	CHEBI:28013
116	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Streptococcus uberis	+	CHEBI:28013
117	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Thermoanaerobacter ethanolicus	+	CHEBI:28013
118	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Thermus caldophilus	+	CHEBI:28013
119	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Bacillus subtilis	+	CHEBI:28013
120	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Bifidobacterium bifidum	+	CHEBI:28013
121	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Lacticaseibacillus casei	+	CHEBI:28013
122	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Lactiplantibacillus plantarum	+	CHEBI:28013
123	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Lactobacillus acidophilus	+	CHEBI:28013
124	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Lactobacillus helveticus	+	CHEBI:28013
125	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Lactobacillus mesenteroides	+	CHEBI:28013
126	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Lactobacillus vermiforme	+	CHEBI:28013
127	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Lentilactobacillus buchneri	+	CHEBI:28013
128	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Levilactobacillus brevis	+	CHEBI:28013
129	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Ligilactobacillus salivarius	+	CHEBI:28013
130	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Limosilactobacillus fermentum	+	CHEBI:28013
131	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Mycoplasma sp.	+	CHEBI:28013
132	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Pediococcus acidilactici	+	CHEBI:28013
133	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Pediococcus damnosus	+	CHEBI:28013
134	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Pediococcus inopinatus	+	CHEBI:28013
135	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Pediococcus pentosaceus	+	CHEBI:28013
136	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Selenomonas ruminantium	+	CHEBI:28013
137	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Staphylococcus aureus	+	CHEBI:28013
138	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Streptococcus agalactiae	+	CHEBI:28013
139	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Streptococcus equinus	+	CHEBI:28013
140	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Streptococcus mutans	+	CHEBI:28013
141	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Streptococcus thermophilus	+	CHEBI:28013
142	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Tetragenococcus halophilus	+	CHEBI:28013
143	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Weissella confusa	+	CHEBI:28013
144	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Weissella viridescens	+	CHEBI:28013
145	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	[Bacillus] caldolyticus	+	CHEBI:28013
146	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Thermus caldophilus	+	CHEBI:28013
147	1.1.1.27	L-lactate dehydrogenase	fructose 1,6-diphosphate	Cupriavidus necator	+	CHEBI:28013
148	1.1.1.27	L-lactate dehydrogenase	tagatose 1,6-diphosphate	Lactococcus cremoris	+	CHEBI:4250
149	1.1.1.27	L-lactate dehydrogenase	Urea	Thermoanaerobacter ethanolicus	+	CHEBI:16199
150	1.1.1.28	D-lactate dehydrogenase	acetate	Enterococcus faecium	+	CHEBI:15366
151	1.1.1.28	D-lactate dehydrogenase	fructose 1,6-bisphosphate	Fusobacterium nucleatum	+	CHEBI:28013
152	1.1.1.28	D-lactate dehydrogenase	fructose 1,6-bisphosphate	Pseudomonas aeruginosa	+	CHEBI:28013
153	1.1.1.28	D-lactate dehydrogenase	fructose 1,6-diphosphate	Globisporangium debaryanum	+	CHEBI:28013
154	1.1.1.28	D-lactate dehydrogenase	fructose 1,6-diphosphate	Phytophthora undulata	+	CHEBI:28013
155	1.1.1.28	D-lactate dehydrogenase	fructose 1,6-diphosphate	Sapromyces elongatus	+	CHEBI:28013
156	1.1.1.28	D-lactate dehydrogenase	fructose 1,6-diphosphate	Streptococcus equinus	+	CHEBI:28013
157	1.1.1.283	methylglyoxal reductase (NADPH)	glutathione	Saccharomyces cerevisiae	+	CHEBI:16856
158	1.1.1.283	methylglyoxal reductase (NADPH)	L-cysteine	Saccharomyces cerevisiae	+	CHEBI:35235
159	1.1.1.283	methylglyoxal reductase (NADPH)	methylglyoxal	Dictyostelium discoideum	+	CHEBI:17158
160	1.1.1.284	S-(hydroxymethyl)glutathione dehydrogenase	formaldehyde	Homo sapiens	+	CHEBI:16842
161	1.1.1.284	S-(hydroxymethyl)glutathione dehydrogenase	glutathione	Taiwanofungus camphoratus	+	CHEBI:16856
162	1.1.1.284	S-(hydroxymethyl)glutathione dehydrogenase	NADH	Homo sapiens	+	CHEBI:16908
163	1.1.1.30	3-hydroxybutyrate dehydrogenase	glycerol	Acidovorax sp.	+	CHEBI:17754
164	1.1.1.30	3-hydroxybutyrate dehydrogenase	reduced glutathione	Zoogloea ramigera	+	CHEBI:16856
165	1.1.1.30	3-hydroxybutyrate dehydrogenase	succinate	Acidovorax sp.	+	CHEBI:15741
166	1.1.1.304	diacetyl reductase [(S)-acetoin forming]	DMSO	Rhodococcus erythropolis	+	CHEBI:28262
167	1.1.1.305	UDP-glucuronic acid dehydrogenase (UDP-4-keto-hexauronic acid decarboxylating)	NAD+	Homo sapiens	+	CHEBI:15846
168	1.1.1.306	S-(hydroxymethyl)mycothiol dehydrogenase	formaldehyde	Nocardia sp.	+	CHEBI:16842
169	1.1.1.306	S-(hydroxymethyl)mycothiol dehydrogenase	methanol	Amycolatopsis methanolica	+	CHEBI:17790
170	1.1.1.307	D-xylose reductase	cysteine	Candida parapsilosis	+	CHEBI:35235
171	1.1.1.307	D-xylose reductase	glutathione	Candida parapsilosis	+	CHEBI:16856
172	1.1.1.316	L-galactose 1-dehydrogenase	glutathione	Spinacia oleracea	+	CHEBI:16856
173	1.1.1.316	L-galactose 1-dehydrogenase	glutathione	Spinacia oleracea	+	CHEBI:16856
174	1.1.1.335	UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase	2-oxoglutarate	Pseudomonas aeruginosa	+	CHEBI:30915
175	1.1.1.36	acetoacetyl-CoA reductase	alpha-ketoglutarate	Methylorubrum extorquens	+	CHEBI:16810
176	1.1.1.36	acetoacetyl-CoA reductase	ATP	Methylorubrum extorquens	+	CHEBI:15422
177	1.1.1.36	acetoacetyl-CoA reductase	citrate	Methylorubrum extorquens	+	CHEBI:30769
178	1.1.1.36	acetoacetyl-CoA reductase	CoA	Bos taurus	+	CHEBI:15346
179	1.1.1.36	acetoacetyl-CoA reductase	CoA	Rattus norvegicus	+	CHEBI:15346
180	1.1.1.36	acetoacetyl-CoA reductase	isocitrate	Methylorubrum extorquens	+	CHEBI:30887
181	1.1.1.36	acetoacetyl-CoA reductase	pantetheine	Bos taurus	+	CHEBI:16753
182	1.1.1.36	acetoacetyl-CoA reductase	pantetheine	Rattus norvegicus	+	CHEBI:16753
183	1.1.1.363	glucose-6-phosphate dehydrogenase [NAD(P)+]	NADP+	Leuconostoc mesenteroides	+	CHEBI:18009
184	1.1.1.363	glucose-6-phosphate dehydrogenase [NAD(P)+]	NADPH	Leuconostoc mesenteroides	+	CHEBI:16474
185	1.1.1.37	malate dehydrogenase	citrate	Corynebacterium glutamicum	+	CHEBI:30769
186	1.1.1.37	malate dehydrogenase	cysteine	Mycolicibacterium phlei	+	CHEBI:35235
187	1.1.1.37	malate dehydrogenase	fumarate	Synechocystis sp.	+	CHEBI:18012
188	1.1.1.37	malate dehydrogenase	glutathione	Mycolicibacterium phlei	+	CHEBI:16856
189	1.1.1.37	malate dehydrogenase	isocitrate	Corynebacterium glutamicum	+	CHEBI:30887
190	1.1.1.37	malate dehydrogenase	L-malate	Comamonas testosteroni	+	CHEBI:30797
191	1.1.1.37	malate dehydrogenase	L-malate	Sus scrofa	+	CHEBI:30797
192	1.1.1.37	malate dehydrogenase	L-malate	Pseudomonas stutzeri	+	CHEBI:30797
193	1.1.1.375	L-2-hydroxycarboxylate dehydrogenase [NAD(P)+]	D-fructose 1,6-bisphosphate	Methanocaldococcus jannaschii	+	CHEBI:28013
194	1.1.1.38	malate dehydrogenase (oxaloacetate-decarboxylating)	aspartate	Escherichia coli	+	CHEBI:17053
195	1.1.1.38	malate dehydrogenase (oxaloacetate-decarboxylating)	aspartate	Escherichia coli	+	CHEBI:17053
196	1.1.1.38	malate dehydrogenase (oxaloacetate-decarboxylating)	aspartate	Citrobacter freundii	+	CHEBI:17053
197	1.1.1.38	malate dehydrogenase (oxaloacetate-decarboxylating)	aspartate	Erwinia aroidea	+	CHEBI:17053
198	1.1.1.38	malate dehydrogenase (oxaloacetate-decarboxylating)	aspartate	Escherichia coli	+	CHEBI:17053
199	1.1.1.38	malate dehydrogenase (oxaloacetate-decarboxylating)	aspartate	Escherichia coli	+	CHEBI:17053
200	1.1.1.38	malate dehydrogenase (oxaloacetate-decarboxylating)	aspartate	Proteus vulgaris	+	CHEBI:17053
201	1.1.1.38	malate dehydrogenase (oxaloacetate-decarboxylating)	ATP	Urochloa panicoides	+	CHEBI:15422
202	1.1.1.38	malate dehydrogenase (oxaloacetate-decarboxylating)	CoA	Urochloa panicoides	+	CHEBI:15346
203	1.1.1.38	malate dehydrogenase (oxaloacetate-decarboxylating)	CoA	Atriplex spongiosa	+	CHEBI:15346
204	1.1.1.38	malate dehydrogenase (oxaloacetate-decarboxylating)	D-Aspartate	Escherichia coli	+	CHEBI:17364
205	1.1.1.38	malate dehydrogenase (oxaloacetate-decarboxylating)	fumarate	Homo sapiens	+	CHEBI:18012
206	1.1.1.38	malate dehydrogenase (oxaloacetate-decarboxylating)	fumarate	Mus musculus	+	CHEBI:18012
207	1.1.1.38	malate dehydrogenase (oxaloacetate-decarboxylating)	fumarate	Rattus norvegicus	+	CHEBI:18012
208	1.1.1.38	malate dehydrogenase (oxaloacetate-decarboxylating)	fumarate	Ascaris suum	+	CHEBI:18012
209	1.1.1.38	malate dehydrogenase (oxaloacetate-decarboxylating)	fumarate	Homo sapiens	+	CHEBI:18012
210	1.1.1.38	malate dehydrogenase (oxaloacetate-decarboxylating)	L-aspartate	Escherichia coli	+	CHEBI:17053
211	1.1.1.38	malate dehydrogenase (oxaloacetate-decarboxylating)	L-aspartate	Escherichia coli	+	CHEBI:17053
212	1.1.1.38	malate dehydrogenase (oxaloacetate-decarboxylating)	phosphoenolpyruvate	Saccharomyces cerevisiae	+	CHEBI:44897
213	1.1.1.38	malate dehydrogenase (oxaloacetate-decarboxylating)	succinate	Rattus norvegicus	+	CHEBI:15741
214	1.1.1.38	malate dehydrogenase (oxaloacetate-decarboxylating)	UTP	Urochloa panicoides	+	CHEBI:15713
215	1.1.1.39	malate dehydrogenase (decarboxylating)	2-oxoglutarate	Arabidopsis thaliana	+	CHEBI:30915
216	1.1.1.39	malate dehydrogenase (decarboxylating)	acetyl-CoA	Arabidopsis thaliana	+	CHEBI:15351
217	1.1.1.39	malate dehydrogenase (decarboxylating)	ADP	Sinorhizobium meliloti	+	CHEBI:16761
218	1.1.1.39	malate dehydrogenase (decarboxylating)	alpha-D-glucose 1-phosphate	Bradyrhizobium japonicum	+	CHEBI:29042
219	1.1.1.39	malate dehydrogenase (decarboxylating)	AMP	Crassula argentea	+	CHEBI:16027
220	1.1.1.39	malate dehydrogenase (decarboxylating)	aspartate	Sinorhizobium meliloti	+	CHEBI:17053
221	1.1.1.39	malate dehydrogenase (decarboxylating)	ATP	Sinorhizobium meliloti	+	CHEBI:15422
222	1.1.1.39	malate dehydrogenase (decarboxylating)	CoA	Arabidopsis thaliana	+	CHEBI:15346
223	1.1.1.39	malate dehydrogenase (decarboxylating)	coenzyme A	Crassula argentea	+	CHEBI:15346
224	1.1.1.39	malate dehydrogenase (decarboxylating)	coenzyme A	Amaranthus edulis	+	CHEBI:15346
225	1.1.1.39	malate dehydrogenase (decarboxylating)	coenzyme A	Atriplex spongiosa	+	CHEBI:15346
226	1.1.1.39	malate dehydrogenase (decarboxylating)	coenzyme A	Panicum miliaceum	+	CHEBI:15346
227	1.1.1.39	malate dehydrogenase (decarboxylating)	coenzyme A	Brassica oleracea	+	CHEBI:15346
228	1.1.1.39	malate dehydrogenase (decarboxylating)	coenzyme A	Solanum tuberosum	+	CHEBI:15346
229	1.1.1.39	malate dehydrogenase (decarboxylating)	D-fructose 1,6-bisphosphate	Arabidopsis thaliana	+	CHEBI:28013
230	1.1.1.39	malate dehydrogenase (decarboxylating)	D-glucose 6-phosphate	Bradyrhizobium japonicum	+	CHEBI:4170
231	1.1.1.39	malate dehydrogenase (decarboxylating)	fructose 1,6-bisphosphate	Bradyrhizobium japonicum	+	CHEBI:28013
232	1.1.1.39	malate dehydrogenase (decarboxylating)	fructose 1,6-bisphosphate	Crassula argentea	+	CHEBI:28013
233	1.1.1.39	malate dehydrogenase (decarboxylating)	fructose 1,6-bisphosphate	Sinorhizobium meliloti	+	CHEBI:28013
234	1.1.1.39	malate dehydrogenase (decarboxylating)	fumarate	Arabidopsis thaliana	+	CHEBI:18012
235	1.1.1.39	malate dehydrogenase (decarboxylating)	fumarate	Azorhizobium caulinodans	+	CHEBI:18012
236	1.1.1.39	malate dehydrogenase (decarboxylating)	fumarate	Sinorhizobium sp.	+	CHEBI:18012
237	1.1.1.39	malate dehydrogenase (decarboxylating)	fumarate	Ascaris suum	+	CHEBI:18012
238	1.1.1.39	malate dehydrogenase (decarboxylating)	fumarate	Homo sapiens	+	CHEBI:18012
239	1.1.1.39	malate dehydrogenase (decarboxylating)	fumarate	Arabidopsis thaliana	+	CHEBI:18012
240	1.1.1.39	malate dehydrogenase (decarboxylating)	fumarate	Arabidopsis thaliana	+	CHEBI:18012
241	1.1.1.39	malate dehydrogenase (decarboxylating)	fumarate	Crassula argentea	+	CHEBI:18012
242	1.1.1.39	malate dehydrogenase (decarboxylating)	fumarate	Sinorhizobium meliloti	+	CHEBI:18012
